0:0:0:0:0:0:0:1 - - [08/Jan/2020:11:59:36 +0900] "GET /web_html_01/images/banner2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jan/2020:11:59:36 +0900] "GET /web_html_01/images/banner3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jan/2020:11:59:36 +0900] "GET /web_html_01/html/ex2/html/ex07_standard_exteernal.html HTTP/1.1" 404 820
0:0:0:0:0:0:0:1 - - [08/Jan/2020:12:01:59 +0900] "GET /web_html_01/html/ex2/ex10_embeded.html HTTP/1.1" 200 3217
0:0:0:0:0:0:0:1 - - [08/Jan/2020:12:01:59 +0900] "GET /web_html_01/css/style.css HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [08/Jan/2020:12:01:59 +0900] "GET /web_html_01/images/2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jan/2020:12:01:59 +0900] "GET /web_html_01/images/1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jan/2020:12:01:59 +0900] "GET /web_html_01/images/3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jan/2020:12:01:59 +0900] "GET /web_html_01/images/banner2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jan/2020:12:01:59 +0900] "GET /web_html_01/images/banner3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jan/2020:12:01:59 +0900] "GET /web_html_01/html/ex07_standard_extenrnal.html HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [08/Jan/2020:12:02:28 +0900] "GET /web_html_01/html/ex2/ex10_embeded.html HTTP/1.1" 200 3214
0:0:0:0:0:0:0:1 - - [08/Jan/2020:12:02:28 +0900] "GET /web_html_01/css/style.css HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [08/Jan/2020:12:02:28 +0900] "GET /web_html_01/html/ex2/ex07_standard_extenrnal.html HTTP/1.1" 404 811
0:0:0:0:0:0:0:1 - - [08/Jan/2020:12:02:41 +0900] "GET /web_html_01/html/ex2/ex10_embeded.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jan/2020:12:02:41 +0900] "GET /web_html_01/css/style.css HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [08/Jan/2020:12:02:42 +0900] "GET /web_html_01/html/ex2/ex07_standard_extenrnal.html HTTP/1.1" 200 911
0:0:0:0:0:0:0:1 - - [08/Jan/2020:12:02:43 +0900] "GET /web_html_01/html/ex2/ex10_embeded.html HTTP/1.1" 200 3214
0:0:0:0:0:0:0:1 - - [08/Jan/2020:12:02:43 +0900] "GET /web_html_01/css/style.css HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [08/Jan/2020:12:02:43 +0900] "GET /web_html_01/images/2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jan/2020:12:02:43 +0900] "GET /web_html_01/images/1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jan/2020:12:02:43 +0900] "GET /web_html_01/images/3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jan/2020:12:02:43 +0900] "GET /web_html_01/html/ex2/ex07_standard_extenrnal.html HTTP/1.1" 200 911
0:0:0:0:0:0:0:1 - - [08/Jan/2020:12:02:43 +0900] "GET /web_html_01/images/banner2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jan/2020:12:02:43 +0900] "GET /web_html_01/images/banner3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jan/2020:13:03:13 +0900] "GET /web_html_01/html/ex2/ex08_css.html HTTP/1.1" 200 715
0:0:0:0:0:0:0:1 - - [08/Jan/2020:13:05:11 +0900] "GET /web_html_01/html/ex2/ex10_embeded.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jan/2020:13:05:11 +0900] "GET /web_html_01/images/2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jan/2020:13:05:11 +0900] "GET /web_html_01/css/style.css HTTP/1.1" 200 2533
0:0:0:0:0:0:0:1 - - [08/Jan/2020:13:05:11 +0900] "GET /web_html_01/images/1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jan/2020:13:05:11 +0900] "GET /web_html_01/images/3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jan/2020:13:05:11 +0900] "GET /web_html_01/images/banner2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jan/2020:13:05:11 +0900] "GET /web_html_01/images/banner3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jan/2020:13:05:11 +0900] "GET /web_html_01/html/ex2/ex07_standard_extenrnal.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jan/2020:13:05:11 +0900] "GET /web_html_01/images/bg.png HTTP/1.1" 200 430767
0:0:0:0:0:0:0:1 - - [08/Jan/2020:13:05:14 +0900] "GET /web_html_01/html/ex2/ex10_embeded.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jan/2020:13:05:14 +0900] "GET /web_html_01/css/style.css HTTP/1.1" 200 2533
0:0:0:0:0:0:0:1 - - [08/Jan/2020:13:05:14 +0900] "GET /web_html_01/images/2.jpg HTTP/1.1" 304 -
